Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/21  16:00:00,10660430.57,1779376.516,0
 01/21  17:00:00,10660430.57,2187162.959,0
 01/21  18:00:00,10660430.57,2203438.708,0
 01/21  19:00:00,9778072.731,2137838.21,0
 01/21  20:00:00,9778072.731,2076876.118,0
 01/21  21:00:00,9778072.731,2131518.694,0
 01/21  22:00:00,9778072.731,2480222.984,0
 01/21  23:00:00,9778072.731,2531239.975,0
 01/21  24:00:00,9778072.731,3166396.35,0
 01/22  01:00:00,9761104.792,2749992.699,0
 01/22  02:00:00,9761104.792,3281335.858,0
 01/22  03:00:00,9761104.792,3332048.902,0
 01/22  04:00:00,9761104.792,3455605.558,0
 01/22  05:00:00,9761104.792,4124934.781,0
 01/22  06:00:00,9761104.792,4190303.899,0
 01/22  07:00:00,9761104.792,4134664.505,0
 01/22  08:00:00,9778072.731,4718243.89,0
 01/22  09:00:00,9778072.731,4679820.257,0
 01/22  10:00:00,9778072.731,3410590.694,0
 01/22  11:00:00,9778072.731,2863128.286,0
 01/22  12:00:00,9778072.731,758792.4235,0
 01/22  13:00:00,9778072.731,258976.2533,0
 01/22  14:00:00,9778072.731,187540.0348,0
 01/22  15:00:00,9778072.731,575951.3723,0
 01/22  16:00:00,9778072.731,1238002.591,0
 01/22  17:00:00,9778072.731,1904559.574,0
 01/22  18:00:00,9778072.731,2149491.964,0
 01/22  19:00:00,9778072.731,2417991.444,0
 01/22  20:00:00,9778072.731,2781259.155,0
 01/22  21:00:00,9778072.731,3235593.743,0
 01/22  22:00:00,9778072.731,3721694.979,0
