Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
ElectricEquipment,Level2:Zone5 Equipment 1,Design Level,620.5886,550.4620882,664.029802,Uniform,Float,105
Lights,Level2:Zone10 General lighting,Lighting Level,108.847,102.533874,118.64323,Uniform,Float,106
ElectricEquipment,Level2:Zone10 Equipment 1,Design Level,40.2734,35.7225058,43.092538,Uniform,Float,107
Lights,Level2:Zone17 General lighting,Lighting Level,74.544,70.220448,81.25296,Uniform,Float,108
Lights,Level2:Zone3 General lighting,Lighting Level,1000.994,942.936348,1091.08346,Uniform,Float,109
ElectricEquipment,Level2:Zone3 Equipment 1,Design Level,589.085,522.518395,630.32095,Uniform,Float,110
Lights,Level2:Zone15 General lighting,Lighting Level,70.359,66.278178,76.69131,Uniform,Float,111
Lights,Level2:Zone36 General lighting,Lighting Level,363.2265,342.159363,395.916885,Uniform,Float,112
ElectricEquipment,Level2:Zone36 Equipment 1,Design Level,134.3938,119.2073006,143.801366,Uniform,Float,113
Lights,Level2:Zone6 General lighting,Lighting Level,1293.606,1218.576852,1410.03054,Uniform,Float,114
ElectricEquipment,Level2:Zone6 Equipment 1,Design Level,761.2871,675.2616577,814.577197,Uniform,Float,115
Lights,Level2:Zone12 General lighting,Lighting Level,1293.606,1218.576852,1410.03054,Uniform,Float,116
ElectricEquipment,Level2:Zone12 Equipment 1,Design Level,761.2871,675.2616577,814.577197,Uniform,Float,117
Lights,Level2:Zone26 General lighting,Lighting Level,220.252,207.477384,240.07468,Uniform,Float,118
ElectricEquipment,Level2:Zone26 Equipment 1,Design Level,129.6183,114.9714321,138.691581,Uniform,Float,119
Lights,Level2:Zone7 General lighting,Lighting Level,1071.592,1009.439664,1168.03528,Uniform,Float,120
ElectricEquipment,Level2:Zone7 Equipment 1,Design Level,630.6319,559.3704953,674.776133,Uniform,Float,121
Lights,Level2:Zone1 General lighting,Lighting Level,888.504,836.970768,968.46936,Uniform,Float,122
ElectricEquipment,Level2:Zone1 Equipment 1,Design Level,522.8846,463.7986402,559.486522,Uniform,Float,123
Lights,Level2:Zone18 General lighting,Lighting Level,907.03,854.42226,988.6627,Uniform,Float,124
ElectricEquipment,Level2:Zone18 Equipment 1,Design Level,533.7872,473.4692464,571.152304,Uniform,Float,125
Lights,Level2:Zone25 General lighting,Lighting Level,56.961,53.657262,62.08749,Uniform,Float,126
Lights,Level2:Zone29 General lighting,Lighting Level,2266.368,2134.918656,2470.34112,Uniform,Float,127
ElectricEquipment,Level2:Zone29 Equipment 1,Design Level,679.9104,603.0805248,727.504128,Uniform,Float,128
ElectricEquipment,Level2:Zone35 Equipment 1,Design Level,118.9987,105.5518469,127.328609,Uniform,Float,129
Lights,Level2:Zone30 General lighting,Lighting Level,82.856,78.050352,90.31304,Uniform,Float,130
Lights,Level2:Zone37 General lighting,Lighting Level,96.579,90.977418,105.27111,Uniform,Float,131
ElectricEquipment,Level2:Zone37 Equipment 1,Design Level,52.9253,46.9447411,56.630071,Uniform,Float,132
ElectricEquipment,Level2:Zone34 Equipment 1,Design Level,64.6958,57.3851746,69.224506,Uniform,Float,133
Lights,Level0:Zone2 General lighting,Lighting Level,447.764,421.793688,488.06276,Uniform,Float,134
