,Class,Object,Field,Default,Minimum,Maximum,Type,Group
2677,ZoneInfiltration:DesignFlowRate,Level0:Zone21 Infiltration,Design Flow Rate,0.009366,0.009364328850980243,0.009367671149019756,Float,G228
2683,People,People Level0:Zone45,Number of People,1.4953365,0.3229926839999999,2.667680316,Float,G608
2684,People,People Level0:Zone45,Fraction Radiant,0.3,0.285,0.315,Float,G609
2685,People,People Level0:Zone45,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2686,Lights,Level0:Zone45 General lighting,Lighting Level,269.43,253.80306000000002,293.6787,Float,G610
2687,Lights,Level0:Zone45 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2688,Lights,Level0:Zone45 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2689,Lights,Level0:Zone45 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2690,ElectricEquipment,Level0:Zone45 Equipment 1,Design Level,158.5596,140.6423652,169.658772,Float,G413
2691,ElectricEquipment,Level0:Zone45 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G414
2692,WaterUse:Equipment,DHW Level0:Zone45,Peak Flow Rate,8.32e-08,5.67424e-08,1.21888e-07,Float,G611
2705,ZoneInfiltration:DesignFlowRate,Level0:Zone45 Infiltration,Design Flow Rate,0.002926,0.0029243288509802428,0.0029276711490197577,Float,G228
2711,People,People Level0:Zone30,Number of People,3.878451,0.8377454159999997,6.919156584,Float,G616
2712,People,People Level0:Zone30,Fraction Radiant,0.3,0.285,0.315,Float,G617
2713,People,People Level0:Zone30,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2714,Lights,Level0:Zone30 General lighting,Lighting Level,698.82,658.28844,761.7138,Float,G618
2715,Lights,Level0:Zone30 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2716,Lights,Level0:Zone30 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2717,Lights,Level0:Zone30 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2718,ElectricEquipment,Level0:Zone30 Equipment 1,Design Level,411.2556,364.7837172,440.043492,Float,G413
2719,ElectricEquipment,Level0:Zone30 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G414
2720,WaterUse:Equipment,DHW Level0:Zone30,Peak Flow Rate,2.16e-07,1.4731200000000002e-07,3.1644e-07,Float,G619
2733,ZoneInfiltration:DesignFlowRate,Level0:Zone30 Infiltration,Design Flow Rate,0.00759,0.007588328850980243,0.007591671149019758,Float,G228
2739,People,People Level0:Zone23,Number of People,3.2653869,0.7053235704,5.8254502296,Float,G500
2740,People,People Level0:Zone23,Fraction Radiant,0.3,0.285,0.315,Float,G501
2741,People,People Level0:Zone23,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2742,Lights,Level0:Zone23 General lighting,Lighting Level,588.358,554.2332359999999,641.31022,Float,G502
2743,Lights,Level0:Zone23 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2744,Lights,Level0:Zone23 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2745,Lights,Level0:Zone23 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
