Class,Object,Field,Default,Minimum,Maximum,Type,Group
WindowMaterial:Glazing,2,Dirt Correction Factor for Solar and Visible Transmittance,1,0.9,1,Float,G101
Material,Floor/Roof Screed_0.05,Thickness,0.05,0.045,0.055,Float,G102
Material,Floor/Roof Screed_0.05,Conductivity,0.41,0.369,0.451,Float,G103
Material,Floor/Roof Screed_0.05,Density,1200,1080,1320,Float,G104
Material,Floor/Roof Screed_0.05,Specific Heat,840,756,924,Float,G105
Material,Floor/Roof Screed_0.05,Thermal Absorptance,0.9,0.81,0.99,Float,G106
Material,Floor/Roof Screed_0.05,Solar Absorptance,0.73,0.657,0.803,Float,G107
Material,Floor/Roof Screed_0.05,Visible Absorptance,0.73,0.657,0.803,Float,G108
Material,Cast Concrete_0.15,Thickness,0.15,0.135,0.165,Float,G109
Material,Cast Concrete_0.15,Conductivity,1.13,1.017,1.243,Float,G110
Material,Cast Concrete_0.15,Density,2000,1800,2200,Float,G111
Material,Cast Concrete_0.15,Specific Heat,1000,900,1100,Float,G112
Material,Cast Concrete_0.15,Thermal Absorptance,0.9,0.81,0.99,Float,G113
Material,Cast Concrete_0.15,Solar Absorptance,0.6,0.54,0.66,Float,G114
Material,Cast Concrete_0.15,Visible Absorptance,0.6,0.54,0.66,Float,G115
Material,Cast Concrete (Dense)_0.1,Thickness,0.1,0.09,0.11,Float,G116
Material,Cast Concrete (Dense)_0.1,Conductivity,1.4,1.26,1.54,Float,G117
Material,Cast Concrete (Dense)_0.1,Density,2100,1890,2310,Float,G118
Material,Cast Concrete (Dense)_0.1,Specific Heat,840,756,924,Float,G119
Material,Cast Concrete (Dense)_0.1,Thermal Absorptance,0.9,0.81,0.99,Float,G120
Material,Cast Concrete (Dense)_0.1,Solar Absorptance,0.6,0.54,0.66,Float,G121
Material,Cast Concrete (Dense)_0.1,Visible Absorptance,0.6,0.54,0.66,Float,G122
Material,Chipboard_0.013,Thickness,0.013,0.0117,0.0143,Float,G123
Material,Chipboard_0.013,Conductivity,0.15,0.135,0.165,Float,G124
Material,Chipboard_0.013,Density,800,720,880,Float,G125
Material,Chipboard_0.013,Specific Heat,2093,1883.7,2302.3,Float,G126
Material,Chipboard_0.013,Thermal Absorptance,0.9,0.81,0.99,Float,G127
Material,Chipboard_0.013,Solar Absorptance,0.78,0.702,0.858,Float,G128
Material,Chipboard_0.013,Visible Absorptance,0.78,0.702,0.858,Float,G129
Material,Cast Concrete_0.2,Thickness,0.2,0.18,0.22,Float,G130
Material,Cast Concrete_0.2,Conductivity,1.13,1.017,1.243,Float,G131
Material,Cast Concrete_0.2,Density,2000,1800,2200,Float,G132
Material,Cast Concrete_0.2,Specific Heat,1000,900,1100,Float,G133
Material,Cast Concrete_0.2,Thermal Absorptance,0.9,0.81,0.99,Float,G134
Material,Cast Concrete_0.2,Solar Absorptance,0.6,0.54,0.66,Float,G135
Material,Cast Concrete_0.2,Visible Absorptance,0.6,0.54,0.66,Float,G136
Material,Standard insulation_0.0096,Thickness,0.0096,0.00864,0.01056,Float,G137
Material,Standard insulation_0.0096,Conductivity,0.04,0.036,0.044,Float,G138
Material,Standard insulation_0.0096,Density,12,10.8,13.2,Float,G139
Material,Standard insulation_0.0096,Specific Heat,840,756,924,Float,G140
Material,Standard insulation_0.0096,Thermal Absorptance,0.9,0.81,0.99,Float,G141
Material,Standard insulation_0.0096,Solar Absorptance,0.7,0.63,0.77,Float,G142
Material,Standard insulation_0.0096,Visible Absorptance,0.7,0.63,0.77,Float,G143
Material,Painted Oak_0.042,Thickness,0.042,0.0378,0.0462,Float,G144
Material,Painted Oak_0.042,Conductivity,0.19,0.171,0.209,Float,G145
Material,Painted Oak_0.042,Density,700,630,770,Float,G146
Material,Painted Oak_0.042,Specific Heat,2390,2151,2629,Float,G147
Material,Painted Oak_0.042,Thermal Absorptance,0.9,0.81,0.99,Float,G148
Material,Painted Oak_0.042,Solar Absorptance,0.5,0.45,0.55,Float,G149
Material,Painted Oak_0.042,Visible Absorptance,0.5,0.45,0.55,Float,G150
Material,External Rendering_0.025,Thickness,0.025,0.0225,0.0275,Float,G151
Material,External Rendering_0.025,Conductivity,0.5,0.45,0.55,Float,G152
Material,External Rendering_0.025,Density,1300,1170,1430,Float,G153
Material,External Rendering_0.025,Specific Heat,1000,900,1100,Float,G154
Material,External Rendering_0.025,Thermal Absorptance,0.9,0.81,0.99,Float,G155
Material,External Rendering_0.025,Solar Absorptance,0.7,0.63,0.77,Float,G156
Material,External Rendering_0.025,Visible Absorptance,0.7,0.63,0.77,Float,G157
Material,MW Stone Wool (rolls)_0.1439,Thickness,0.1439,0.12951,0.15829,Float,G158
Material,MW Stone Wool (rolls)_0.1439,Conductivity,0.04,0.036,0.044,Float,G159
Material,MW Stone Wool (rolls)_0.1439,Density,30,27,33,Float,G160
Material,MW Stone Wool (rolls)_0.1439,Specific Heat,840,756,924,Float,G161
Material,MW Stone Wool (rolls)_0.1439,Thermal Absorptance,0.9,0.81,0.99,Float,G162
Material,MW Stone Wool (rolls)_0.1439,Solar Absorptance,0.6,0.54,0.66,Float,G163
Material,MW Stone Wool (rolls)_0.1439,Visible Absorptance,0.6,0.54,0.66,Float,G164
Material,Standard insulation_0.0159,Thickness,0.0159,0.01431,0.01749,Float,G165
Material,Standard insulation_0.0159,Conductivity,0.04,0.036,0.044,Float,G166
Material,Standard insulation_0.0159,Density,12,10.8,13.2,Float,G167
Material,Standard insulation_0.0159,Specific Heat,840,756,924,Float,G168
Material,Standard insulation_0.0159,Thermal Absorptance,0.9,0.81,0.99,Float,G169
Material,Standard insulation_0.0159,Solar Absorptance,0.7,0.63,0.77,Float,G170
Material,Standard insulation_0.0159,Visible Absorptance,0.7,0.63,0.77,Float,G171
Material,XPS Extruded Polystyrene  - CO2 Blowing_0.03,Thickness,0.03,0.027,0.033,Float,G172
Material,XPS Extruded Polystyrene  - CO2 Blowing_0.03,Conductivity,0.034,0.0306,0.0374,Float,G173
Material,XPS Extruded Polystyrene  - CO2 Blowing_0.03,Density,35,31.5,38.5,Float,G174
Material,XPS Extruded Polystyrene  - CO2 Blowing_0.03,Specific Heat,1400,1260,1540,Float,G175
